vpn_clei,pe_site,slot_1,slot_2,slot_3,logical_interface,physical_interface
LONDONAT45W,LONDONATD02,0,,,RETH0.,GE-0/0/6.
LONDONAT46W,LONDONATD02,0,,,RETH0.,GE-13/0/6.
TOROONXN45W,TOROONXND27,1,1,,RETH0.,XE-1/0/0.
TOROONXN46W,TOROONXND27,1,1,,RETH0.,XE-14/0/0.
UTOPONAD45W,UTOPONADD00,1,1,,RETH0.,XE-1/0/0.
UTOPONAD46W,UTOPONADD00,1,1,,RETH0.,XE-14/0/0.
WNDSONWG45W,WNDSONWGD00,0,,,RETH0.,GE-0/0/6.
WNDSONWG46W,WNDSONWGD00,0,,,RETH0.,GE-13/0/6.
TDBAONIZ45W,TDBAONIZD00,0,,,RETH0.,GE-0/0/6.
TDBAONIZ46W,TDBAONIZD00,0,,,RETH0.,GE-13/0/6.
SDBRONEM45W,SDBRONEMD00,0,,,RETH0.,GE-0/0/6.
SDBRONEM46W,SDBRONEMD00,0,,,RETH0.,GE-13/0/6.
OTWBONPZ45W,OTWBONPZD00,1,1,,RETH0.,XE-1/0/0.
OTWBONPZ46W,OTWBONPZD00,1,1,,RETH0.,XE-14/0/0.
KTNRONOM45W,KTNRONOMD00,0,,,RETH0.,GE-0/0/6.
KTNRONOM46W,KTNRONOMD00,0,,,RETH0.,GE-13/0/6.
HMTNONKJ45W,HMTNONKJD00,0,,,RETH0.,GE-0/0/6.
HMTNONKJ46W,HMTNONKJD00,0,,,RETH0.,GE-13/0/6.
EBCKONCB45W,EBCKONCBM00,1,1,,RETH0.,XE-1/0/0.
EBCKONCB46W,EBCKONCBM00,1,1,,RETH0.,XE-14/0/0.
KGTNONGW45W,KGTNONGWD00,0,,,RETH0.,GE-0/0/6.
KGTNONGW46W,KGTNONGWD00,0,,,RETH0.,GE-13/0/6.
OSHWONFP45W,,0,,,ST0.,GE-0/0/6.
OSHWONFP46W,,0,,,ST0.,GE-13/0/6.
