shelf_clei,pop_clli,core_channel,vpn_primary,vpn_backup,pe_vpn_path,facility_path,nms_path,asr9k_name,asr9k_45w_port,asr9k_46w_port
EBCKONCBPED10,EBCKONCBM00,MINI-CORE (EBCKONCB),EBCKONCB45W,EBCKONCB46W,0001-10GIG-RE-EBCKONCBPED10-EBCKONCB45W,0001-10GIG-RE-EBCKONCB45W-EBCKONCBM00-HOT,0001-GIG-E-EBCKONCBPED10-EBCKONCBM00-HOT,EBCKONCBPED01,TenGigabitEthernet0/5/0/0,TenGigabitEthernet0/2/0/0
EBCKONCBPED11,EBCKONCBM00,,EBCKONCB45W,EBCKONCB46W,0001-GIG-RE-EBCKONCBPED11-EBCKONCB45W,0001-10GIG-RE-EBCKONCB45W-EBCKONCBM00-HOT,0001-GIG-E-EBCKONCBPED11-EBCKONCBM00-HOT,EBCKONCBPED01,TenGigabitEthernet0/5/0/0,TenGigabitEthernet0/2/0/0
HMTNONKJPED10,HMTNONKJD00,,HMTNONKJ45W,HMTNONKJ46W,0001-GIG-RE-HMTNONKJPED10-HMTNONKJ45W,,0001-GIG-E-HMTNONKJPED10-HMTNONKJD00-HOT,HMTNONKJPED01,GigabitEthernet0/5,GigabitEthernet0/6
KGTNONGWPED10,KGTNONGWD00,,KGTNONGW45W,KGTNONGW46W,0001-GIG-RE-KGTNONGWPED10-KGTNONGW45W,0001-GIG-RE-KGTNONGW45W-KGTNONGWD00-HOT,0001-GIG-E-KGTNONGWPED10-KGTNONGWD00-HOT,KGTNONGWPED01,GigabitEthernet0/0/0/15,GigabitEthernet0/7/0/15
KTNRONOMPED10,KTNRONOMD00,,KTNRONOM45W,KTNRONOM46W,0001-GIG-RE-KTNRONOMPED10-KTNRONOM45W,0001-GIG-RE-KTNRONOM45W-KTNRONOMD00-HOT,0001-GIG-E-KTNRONOMPED10-KTNRONOMD00-HOT,KTNRONOMPED01,GigabitEthernet0/0/0/10,GigabitEthernet0/7/0/1
LONDONATPED10,LONDONATD02,,LONDONAT45W,LONDONAT46W,0001-GIG-RE-LONDONATPED10-LONDONAT45W,,0001-GIG-E-LONDONATPED10-LONDONATD02-HOT,LONDONATPED01,GigabitEthernet0/5,GigabitEthernet0/6
OTWBONPZPED10,OTWBONPZD00,,OTWBONPZ45W,OTWBONPZ46W,0001-10GIG-RE-OTWBONPZPED10-OTWBONPZ45W,0001-10GIG-RE-OTWBONPZ45W-OTWBONPZD00-HOT,0001-GIG-E-OTWBONPZPED10-OTWBONPZD00-HOT,OTWBONPZPED01,TenGigabitEthernet0/0/0/1,TenGigabitEthernet0/6/0/1
SDBRONEMPED10,SDBRONEMD00,,SDBRONEM45W,SDBRONEM46W,0001-GIG-RE-SDBRONEMPED10-SDBRONEM45W,0001-GIG-RE-SDBRONEM45W-SDBRONEM08W,0001-GIG-E-SDBRONEMPED10-SDBRONEM08W,,GigabitEthernet0/7,GigabitEthernet0/8
TDBAONIZPED10,TDBAONIZD00,MINI-CORE (TOROONXN),TDBAONIZ45W,TDBAONIZ46W,0001-GIG-RE-TDBAONIZPED10-TDBAONIZ45W,,,,GigabitEthernet0/7,GigabitEthernet0/8
TOROONXNPED10,TOROONXND27,,TOROONXN45W,TOROONXN46W,0001-GIG-RE-TOROONXNPED10-TOROONXN45W,0001-10GIG-RE-TOROONXN45W-TOROONXND27-HOT,0001-GIG-E-TOROONXNPED10-TOROONXND27-HOT,TOROONXNPED01,TenGigabitEthernet0/2/0/0,TenGigabitEthernet0/4/0/0
TOROONXNPED11,TOROONXND27,,TOROONXN45W,TOROONXN46W,0001-10GIG-RE-TOROONXNPED11-TOROONXN45W,0001-10GIG-RE-TOROONXN45W-TOROONXND27-HOT,0001-GIG-E-TOROONXNPED11-TOROONXND27-HOT,TOROONXNPED01,TenGigabitEthernet0/2/0/0,TenGigabitEthernet0/4/0/0
UTOPONADPED10,UTOPONADD00,,UTOPONAD45W,UTOPONAD46W,0001-10GIG-RE-UTOPONADPED10-UTOPONAD45W,0001-10GIG-RE-UTOPONAD45W-UTOPONADD00-HOT,0001-GIG-E-UTOPONADPED10-UTOPONADD00-HOT,UTOPONADPED01,TenGigabitEthernet0/7/0/1,TenGigabitEthernet0/0/0/1
WNDSONWGPED10,WNDSONWGD00,,WNDSONWG45W,WNDSONWG46W,0001-GIG-RE-WNDSONWGPED10-WNDSONWG45W,0001-GIG-RE-WNDSONWG45W-WNDSONWGD00-HOT,0001-GIG-E-WNDSONWGPED10-WNDSONWGD00-HOT,WNDSONWGPED01,GigabitEthernet0/0/0/15,GigabitEthernet0/7/0/15
