pe_clei,pop_clli,slot_1,slot_2,slot_3,logical_interface,pe_vpn_path
EBCKONCBPED10,EBCKONCBM00,RSP0,,,BDI,0001-10GIG-RE-EBCKONCBPED10-EBCKONCB45W
EBCKONCBPED11,EBCKONCBM00,RSP0,,,BDI,0001-GIG-RE-EBCKONCBPED11-EBCKONCB45W
HMTNONKJPED10,HMTNONKJD00,RSP0,,,BDI,0001-GIG-RE-HMTNONKJPED10-HMTNONKJ45W
KGTNONGWPED10,KGTNONGWD00,RSP0,,,BDI,0001-GIG-RE-KGTNONGWPED10-KGTNONGW45W
KTNRONOMPED10,KTNRONOMD00,RSP0,,,BDI,0001-GIG-RE-KTNRONOMPED10-KTNRONOM45W
LONDONATPED10,LONDONATD02,RSP0,,,BDI,0001-GIG-RE-LONDONATPED10-LONDONAT45W
OTWBONPZPED10,OTWBONPZD00,RSP0,,,BDI,0001-10GIG-RE-OTWBONPZPED10-OTWBONPZ45W
SDBRONEMPED10,SDBRONEMD00,RSP0,,,BDI,0001-GIG-RE-SDBRONEMPED10-SDBRONEM45W
TDBAONIZPED10,TDBAONIZD00,RSP0,,,BDI,0001-GIG-RE-TDBAONIZPED10-TDBAONIZ45W
TOROONXNPED10,TOROONXND27,RSP0,,,BDI,0001-GIG-RE-TOROONXNPED10-TOROONXN45W
TOROONXNPED11,TOROONXND27,RSP0,,,BDI,0001-10GIG-RE-TOROONXNPED11-TOROONXN45W
UTOPONADPED10,UTOPONADD00,RSP0,,,BDI,0001-10GIG-RE-UTOPONADPED10-UTOPONAD45W
WNDSONWGPED10,WNDSONWGD00,RSP0,,,BDI,0001-GIG-RE-WNDSONWGPED10-WNDSONWG45W
