service_name,pe_vrf_name,ip_sla_vrf_name,zone_name,cpe_asn,interface_type,srx_exchange,route_target,ipsec_abbreviation,vpn_asn
CCAC,CCAC,CCAC,CCAC,65010,"""PE""",CLEAR,590,CCAC,65110
CCAC-VoIP,CCAC-VoIP,CCAC-VoIP,CCAC-VoIP,65029,"""PE""",CLEAR,591,CCAC-VoIP,65129
CDMS-CGI,CDMS-CGI,SSHA-DC,CDMS-CGI,65032,"""PE""",CLEAR,811,CDMS-CGI,65132
CHAMPLAIN-CLIENT,CHAMPLAIN-CLIENT,CHAMPLAIN-CLIENT,CHAMPLAIN-CLIENT,65040,"""PE""",CLEAR,585,CHAMPLAIN,65140
CHAMPLAIN-PACS-CLIENT,CHAMPLAIN-PACS-CLIENT,PNOPP-CHAMPLAIN-PACS-ASP,CHAMPLAIN-PACS-CLIENT,65013,"""PE""",CLEAR,581,CHAM-PACS,65113
CHIS,CHIS,CHIS,CHIS,65046,"""PE""",CLEAR,745,CHIS,65146
COMMON-SERVICES,COMMON-SERVICES,SSHA-DC,COMMON-SERVICES,65041,"""PE""",CLEAR,755,COMMON,65141
DTE,DTE,DTE,DTE,65004,"""PE""",CLEAR,595,DTE,65104
EHEALTH-DC,eHealth-DC,SSHA-DC,eHealth-DC,65045,"""PE""",CLEAR,516,eHO-DC,65145
EHEALTH-DEV,eHealth-DEV,eHealth-DEV,eHealth-DEV,65024,"""PE""",CLEAR,812,eHO-DEV,65124
ENITS-PACS,ENITS-PACS,SSHA-DC,ENITS-PACS,65028,"""DCPE""",ENCRYPT,577,ENITS,65128
ERINOAK-CLIENT,ERINOAK-CLIENT,ERINOAK-CLIENT,ERINOAK-CLIENT,65016,"""PE""",CLEAR,539,ERINOAK,65116
GREY-BRUCE-PACS,GREY-BRUCE-PACS,SWO-PACS-ASP,GREY-BRUCE-PACS,65007,"""PE""",CLEAR,572,GREYBRUCE,65107
GTA-WEST-PACS-CLIENT,GTA-WEST-PACS-CLIENT,GTA-WEST-PACS-ASP,GTA-WEST-PACS-CLIENT,65022,"""PE""",CLEAR,806,GTA-WEST,65122
HCDC-CLIENT,HCDC-CLIENT,HCDC-CLIENT,HCDC-CLIENT,65049,"""PE""",CLEAR,800,HCDC,65149
HHC-CLIENT,HHC-CLIENT,HHC-CLIENT,HHC-CLIENT,65027,"""PE""",CLEAR,725,HHC,65127
HNS-CLIENT,HNS-CLIENT,SSHA-DC,HNS-CLIENT,65038,"""PE""",CLEAR,840,HNS,65138
HRM,HRM,HRM,HRM,65043,"""DCPE""",ENCRYPT,765,HRM,65143
HURON-PACS,HURON-PACS,SWO-PACS-ASP,HURON-PACS,65008,"""PE""",CLEAR,573,HURON,65108
HURON-PERTH-CLIENT,HURON-PERTH-CLIENT,HURON-PERTH-CLIENT,HURON-PERTH-CLIENT,65011,"""PE""",CLEAR,576,HURON-PER,65111
